Date,SPY,EFA,EEM,TLT
2003-04-14,58.826172,17.165257,7.340266,41.52129
2003-04-15,59.375122,17.400614,7.427478,41.745575
2003-04-16,58.363262,17.285629,7.513236,41.917347
2003-04-17,59.229626,17.535366,7.567015,41.984138
2003-04-21,59.28912,17.474279,7.564107,41.893505
2003-04-22,60.406807,17.727606,7.589542,41.869644
2003-04-23,60.962326,17.883915,7.625156,41.955521
2003-04-24,60.420052,17.743774,7.474714,42.332462
2003-04-25,59.672714,17.429365,7.351166,42.427898
2003-04-28,60.704395,17.738386,7.472535,42.361065
2003-04-29,60.916039,17.840797,7.685475,42.289497
2003-04-30,60.783791,17.932425,7.663672,42.680801
2003-05-01,60.777195,18.006086,7.633876,42.701393
2003-05-02,61.643478,18.162395,7.750884,42.365631
2003-05-05,61.524471,18.300743,7.83446,42.591095
2003-05-06,62.106483,18.687023,7.874432,42.802158
2003-05-07,61.762566,18.514544,7.8599,43.30101
2003-05-08,61.14085,18.236059,7.790855,43.406548
2003-05-09,61.987408,18.46603,7.882427,43.449722
2003-05-12,62.747967,18.613365,7.99217,43.723122
2003-05-13,62.635532,18.611565,7.947108,43.819092
2003-05-14,62.503284,18.616953,7.907138,44.490639
2003-05-15,62.900074,18.649292,7.923124,44.629742
2003-05-16,62.741318,18.879269,7.928939,44.955917
2003-05-19,61.273182,18.369015,7.739984,44.802433
2003-05-20,61.14748,18.552279,7.778502,45.464382
2003-05-21,61.273182,18.360025,7.785039,45.459557
2003-05-22,61.881592,18.606174,7.855536,45.86253
2003-05-23,62.007236,18.712175,7.936209,45.977642
2003-05-27,63.091835,18.873875,8.220371,45.1478
2003-05-28,63.270405,18.963703,8.255985,45.071064
2003-05-29,63.105076,19.053541,8.266882,45.464382
2003-05-30,64.116913,19.089472,8.362812,45.378056
2003-06-02,64.381439,19.267345,8.423137,45.044662
2003-06-03,64.645973,19.314058,8.359183,45.405972
2003-06-04,65.578499,19.430843,8.466742,45.540821
2003-06-05,65.90255,19.626671,8.475462,45.184391
2003-06-06,65.644592,19.745249,8.554678,45.348164
2003-06-09,64.976692,19.603317,8.481277,45.6516
2003-06-10,65.638008,19.761423,8.568489,46.195965
2003-06-11,66.332443,20.086628,8.575755,46.138187
2003-06-12,66.53743,20.14052,8.640437,46.499439
2003-06-13,65.84304,20.023733,8.637532,46.812607
2003-06-16,67.231812,20.316591,8.730554,46.369446
2003-06-17,67.231812,20.357918,8.910064,46.003323
2003-06-18,67.172318,20.300421,8.87736,45.4156
2003-06-19,66.14724,20.059668,8.87736,45.328911
2003-06-20,66.001198,20.086628,8.87736,45.16029
2003-06-23,65.324219,19.863827,8.659332,45.430069
2003-06-24,65.390579,19.707525,8.595379,45.849144
2003-06-25,64.73349,19.511686,8.666601,45.116936
2003-06-26,65.576431,19.601522,8.76035,44.509991
2003-06-27,64.819817,19.454195,8.719653,44.351021
2003-06-30,64.799858,19.459583,8.713837,44.558159
2003-07-01,65.397232,19.57457,8.80832,44.337173
2003-07-02,66.22023,19.960854,9.015445,44.44841
2003-07-03,65.536652,19.853052,9.040881,43.810112
2003-07-07,66.837524,20.217775,9.264723,43.52964
2003-07-08,67.136208,20.122549,9.290887,43.568382
2003-07-09,66.757874,20.018343,9.269082,43.708557
2003-07-10,65.90831,19.915941,9.106287,43.694023
2003-07-11,66.532204,19.872818,9.182598,43.901981
2003-07-14,66.85743,20.086628,9.34394,43.399071
2003-07-15,66.711426,19.897968,9.226204,42.383621
2003-07-16,66.319794,19.748844,9.233471,42.625393
2003-07-17,65.377296,19.439816,8.992187,42.494843
2003-07-18,66.047638,19.745249,9.112102,42.407799
2003-07-21,65.23127,19.594336,8.99146,41.508373
2003-07-22,65.822021,19.547619,9.099021,41.711494
2003-07-23,65.868484,19.836884,9.040881,41.851734
2003-07-24,65.370697,19.869219,9.08449,41.484219
2003-07-25,66.525543,20.118959,9.233471,41.373005
2003-07-28,66.279976,20.171055,9.284344,40.816914
2003-07-29,65.97464,20.086628,9.232022,40.260834
2003-07-30,65.815361,19.919533,9.164429,40.715374
2003-07-31,65.968033,19.754234,9.208035,40.110935
2003-08-01,65.383957,19.750647,9.228384,40.080788
2003-08-04,65.383957,19.80813,9.18769,40.425713
2003-08-05,63.996769,19.623079,9.088848,39.84766
2003-08-06,64.368446,19.592533,9.048146,40.634594
2003-08-07,65.045448,19.70932,9.114284,40.804619
2003-08-08,65.23127,19.770403,9.175333,40.639423
2003-08-11,65.476898,19.960854,9.215303,40.435375
2003-08-12,66.074242,20.045292,9.251642,40.245953
2003-08-13,65.735733,20.059668,9.382456,39.468712
2003-08-14,65.914948,20.345335,9.506008,39.857346
2003-08-15,66.120689,20.298624,9.411529,39.833061
2003-08-18,66.691498,20.580706,9.612114,40.017616
2003-08-19,66.943748,20.535776,9.659353,40.634594
2003-08-20,66.671555,20.498055,9.660807,40.415958
2003-08-21,66.88398,20.535776,9.838134,40.318821
2003-08-22,66.22023,20.417202,9.888282,40.498554
2003-08-25,66.326439,20.334547,9.811246,40.182835
2003-08-26,66.445915,20.22855,9.691331,40.498554
2003-08-27,66.465836,20.264494,9.803978,40.313957
2003-08-28,66.877342,20.383059,9.872293,40.731693
2003-08-29,67.32869,20.404627,9.943514,40.634594
2003-09-02,68.231339,20.713655,10.091045,40.040291
2003-09-03,68.603027,20.984949,10.170991,40.103672
2003-09-04,68.636223,20.959791,10.207329,40.32814
2003-09-05,68.251305,21.001116,10.19788,41.021015
2003-09-08,68.815407,21.09454,10.391201,40.596504
2003-09-09,68.36409,21.135862,10.210962,40.88929
2003-09-10,67.673843,20.922064,10.040902,41.303997
2003-09-11,67.872925,21.038845,10.029275,41.035667
2003-09-12,67.999031,21.128674,10.100493,41.318661
2003-09-15,67.760094,21.189768,9.951509,41.255249
2003-09-16,68.749107,21.399973,10.156454,41.191822
2003-09-17,68.61628,21.540113,10.112847,41.704109
2003-09-18,69.426041,21.766491,10.229132,41.733391
2003-09-19,69.072906,21.685644,10.181889,41.782181
2003-09-22,68.326729,21.441298,10.015466,41.45042
2003-09-23,68.586548,21.489803,10.040175,41.733391
2003-09-24,67.367294,21.385603,10.058344,42.094509
2003-09-25,66.814255,21.110714,9.90936,42.304302
2003-09-26,66.594398,21.020878,9.840317,42.684868
