SPY,EFA,EEM,TLT
58.826172,17.165257,7.340266,41.52129
59.375122,17.400614,7.427478,41.745575
58.363262,17.285629,7.513236,41.917347
59.229626,17.535366,7.567015,41.984138
59.28912,17.474279,7.564107,41.893505
60.406807,17.727606,7.589542,41.869644
60.962326,17.883915,7.625156,41.955521
60.420052,17.743774,7.474714,42.332462
59.672714,17.429365,7.351166,42.427898
60.704395,17.738386,7.472535,42.361065
60.916039,17.840797,7.685475,42.289497
60.783791,17.932425,7.663672,42.680801
60.777195,18.006086,7.633876,42.701393
61.643478,18.162395,7.750884,42.365631
61.524471,18.300743,7.83446,42.591095
62.106483,18.687023,7.874432,42.802158
61.762566,18.514544,7.8599,43.30101
61.14085,18.236059,7.790855,43.406548
61.987408,18.46603,7.882427,43.449722
62.747967,18.613365,7.99217,43.723122
62.635532,18.611565,7.947108,43.819092
62.503284,18.616953,7.907138,44.490639
62.900074,18.649292,7.923124,44.629742
62.741318,18.879269,7.928939,44.955917
61.273182,18.369015,7.739984,44.802433
61.14748,18.552279,7.778502,45.464382
61.273182,18.360025,7.785039,45.459557
61.881592,18.606174,7.855536,45.86253
62.007236,18.712175,7.936209,45.977642
63.091835,18.873875,8.220371,45.1478
63.270405,18.963703,8.255985,45.071064
63.105076,19.053541,8.266882,45.464382
64.116913,19.089472,8.362812,45.378056
64.381439,19.267345,8.423137,45.044662
64.645973,19.314058,8.359183,45.405972
65.578499,19.430843,8.466742,45.540821
65.90255,19.626671,8.475462,45.184391
65.644592,19.745249,8.554678,45.348164
64.976692,19.603317,8.481277,45.6516
65.638008,19.761423,8.568489,46.195965
66.332443,20.086628,8.575755,46.138187
66.53743,20.14052,8.640437,46.499439
65.84304,20.023733,8.637532,46.812607
67.231812,20.316591,8.730554,46.369446
67.231812,20.357918,8.910064,46.003323
67.172318,20.300421,8.87736,45.4156
66.14724,20.059668,8.87736,45.328911
66.001198,20.086628,8.87736,45.16029
65.324219,19.863827,8.659332,45.430069
65.390579,19.707525,8.595379,45.849144
64.73349,19.511686,8.666601,45.116936
65.576431,19.601522,8.76035,44.509991
64.819817,19.454195,8.719653,44.351021
64.799858,19.459583,8.713837,44.558159
65.397232,19.57457,8.80832,44.337173
66.22023,19.960854,9.015445,44.44841
65.536652,19.853052,9.040881,43.810112
66.837524,20.217775,9.264723,43.52964
67.136208,20.122549,9.290887,43.568382
66.757874,20.018343,9.269082,43.708557
65.90831,19.915941,9.106287,43.694023
66.532204,19.872818,9.182598,43.901981
66.85743,20.086628,9.34394,43.399071
66.711426,19.897968,9.226204,42.383621
66.319794,19.748844,9.233471,42.625393
65.377296,19.439816,8.992187,42.494843
66.047638,19.745249,9.112102,42.407799
65.23127,19.594336,8.99146,41.508373
65.822021,19.547619,9.099021,41.711494
65.868484,19.836884,9.040881,41.851734
65.370697,19.869219,9.08449,41.484219
66.525543,20.118959,9.233471,41.373005
66.279976,20.171055,9.284344,40.816914
65.97464,20.086628,9.232022,40.260834
65.815361,19.919533,9.164429,40.715374
65.968033,19.754234,9.208035,40.110935
65.383957,19.750647,9.228384,40.080788
65.383957,19.80813,9.18769,40.425713
63.996769,19.623079,9.088848,39.84766
64.368446,19.592533,9.048146,40.634594
65.045448,19.70932,9.114284,40.804619
65.23127,19.770403,9.175333,40.639423
65.476898,19.960854,9.215303,40.435375
66.074242,20.045292,9.251642,40.245953
65.735733,20.059668,9.382456,39.468712
65.914948,20.345335,9.506008,39.857346
66.120689,20.298624,9.411529,39.833061
66.691498,20.580706,9.612114,40.017616
66.943748,20.535776,9.659353,40.634594
66.671555,20.498055,9.660807,40.415958
66.88398,20.535776,9.838134,40.318821
66.22023,20.417202,9.888282,40.498554
66.326439,20.334547,9.811246,40.182835
66.445915,20.22855,9.691331,40.498554
66.465836,20.264494,9.803978,40.313957
66.877342,20.383059,9.872293,40.731693
67.32869,20.404627,9.943514,40.634594
68.231339,20.713655,10.091045,40.040291
68.603027,20.984949,10.170991,40.103672
68.636223,20.959791,10.207329,40.32814
68.251305,21.001116,10.19788,41.021015
68.815407,21.09454,10.391201,40.596504
68.36409,21.135862,10.210962,40.88929
67.673843,20.922064,10.040902,41.303997
67.872925,21.038845,10.029275,41.035667
67.999031,21.128674,10.100493,41.318661
67.760094,21.189768,9.951509,41.255249
68.749107,21.399973,10.156454,41.191822
68.61628,21.540113,10.112847,41.704109
69.426041,21.766491,10.229132,41.733391
69.072906,21.685644,10.181889,41.782181
68.326729,21.441298,10.015466,41.45042
68.586548,21.489803,10.040175,41.733391
67.367294,21.385603,10.058344,42.094509
66.814255,21.110714,9.90936,42.304302
66.594398,21.020878,9.840317,42.684868
67.247322,21.290379,9.910083,42.343323
66.594398,21.020878,9.878832,43.045959
68.013542,21.710791,10.138289,42.882824
68.260071,21.676666,10.283638,42.686802
68.886353,21.992872,10.385386,41.790165
69.199539,22.222847,10.425357,41.971458
69.466026,22.188705,10.414454,41.486385
69.292793,22.09708,10.492219,41.476543
69.479378,22.2498,10.668821,41.182587
69.672607,22.343222,10.799638,41.427589
69.892456,22.564205,10.963158,41.265911
70.138985,22.682789,10.753846,40.981689
69.952415,22.46719,10.883939,40.780819
70.232254,22.601934,10.881032,40.619106
69.466026,22.485151,10.814901,40.932709
69.985733,22.725903,10.875221,41.069897
69.865814,22.648653,10.929727,41.221775
68.986282,22.427658,10.769112,41.623569
68.859734,22.143789,10.610677,41.319778
69.013008,22.186909,10.554718,41.78038
69.046295,22.285721,10.676088,41.697048
69.985733,22.548037,10.822165,41.917549
70.079002,22.52109,10.912285,41.540276
70.225578,22.546251,10.873039,41.354073
70.158974,22.386341,10.78583,41.741158
70.618668,22.499521,11.043104,41.543381
70.465439,22.623495,11.073624,41.779526
70.518745,22.494135,11.088162,41.494171
70.891869,22.296501,11.008946,41.105488
70.365517,22.503122,11.020574,41.08094
70.079002,22.316269,10.86868,41.046448
70.059044,22.231827,10.729143,41.051361
70.845245,22.695362,10.920282,41.351482
70.865227,22.82472,11.004585,41.991089
70.265572,22.670212,10.948627,42.2715
69.912468,22.280331,10.734957,42.335472
69.186203,22.368368,10.756031,42.596218
69.77253,22.422264,10.686262,42.123936
69.146217,22.278534,10.548181,42.532257
69.432686,22.519287,10.639748,42.556854
70.35218,22.688179,10.755304,42.207584
70.618668,22.724108,10.792369,42.438843
70.871887,22.916348,10.891209,42.266563
70.925201,22.952286,10.988598,41.882843
71.691399,23.406841,11.303279,41.649487
71.511505,23.462526,11.253139,41.827446
71.398247,23.509254,11.21389,41.659355
71.691399,23.563148,11.136853,41.75333
71.191727,23.39426,11.115779,42.420765
71.671417,23.590088,11.137581,42.12413
71.118408,23.491278,11.091066,41.827446
71.111732,23.322395,11.046738,41.896679
71.911285,23.581108,11.24805,42.198288
72.051186,23.658369,11.299647,42.277405
71.691399,23.500265,11.308369,42.252666
72.064537,23.801388,11.261128,42.391121
72.291054,23.745489,11.130314,42.677872
73.103882,24.098907,11.309827,43.063503
72.900421,23.963669,11.337435,43.048702
73.409164,24.122046,11.497528,42.930038
73.456024,24.173143,11.52892,42.445503
73.382393,24.231529,11.566151,42.845982
73.435974,24.187738,11.59535,43.004169
74.413277,24.594637,11.770548,42.618546
74.426704,24.64208,11.826756,42.445503
74.493629,24.957748,11.975864,42.445503
74.460159,25.025263,12.242514,41.94381
75.270149,25.506977,12.672075,41.834545
75.343819,25.545294,12.528889,42.296467
75.598206,25.289841,12.558112,42.465363
75.899445,25.652941,12.605592,42.450451
